email,subject,message
benedek@hype.com,test,test db content
benedek.ladanyi@gmail.com,test again,test db again
jd@gmail.com,Confidence Score,|ddddggiuhudff, mogodmokd kkksk ojf omldfm mojmmo oojomlfkdjd|
fff@com,fgfg,fgfgf
dfdf@com,ffg,fgfgfer
sdsdd@com,dlkdll,kdkkkfolo
dfdf@com,dfdfdf,dfdfd
dfdf@com,dfdfdf,dfdfd
dfdf@com,dfdfdf,ddddfd
dfdf@com,test,dsssdssd
dfdf@com,dfdfdf,fgffgf
benedek@hype.com,sdss,sdssdsdssd
benedek@hype.com,fssfs,fssdf
benedek@hype.com,test,dfdfdfdf
xxxxxx@com,xxxxxxx,xxxxxxxx
